"job_id","company_name","job_title","salary_year_avg","job_posted_date","skills_list"
327502,"Robert Half","Lead Data Analyst / SQL Developer","100000.0","2023-09-08 00:02:13","sql server,go,c,python,sql"
420972,"Insight Global","Data Conversion Analyst","100000.0","2023-06-23 14:22:13","power bi"
524146,"Hearth","Data Analyst","100000.0","2023-02-23 18:01:48","r,python,sql,looker,tableau"
734020,"Govcio LLC","Data Analyst","100000.0","2023-12-22 22:00:02","sql,oracle,atlassian"
736533,"LHH","Data Analyst","100000.0","2023-05-11 20:00:22","tableau,sap,sql,oracle,excel"
882690,"LHH","Marketing Data Analyst","100000.0","2023-06-19 23:00:06","sql,excel,tableau"
1217891,"Get It Recruit - Information Technology","Data Analytics Manager","100000.0","2023-12-19 08:01:16","sql"
1331634,"InvestM Technology LLC","Data Analyst - Investment Management","100000.0","2023-04-08 16:02:36","power bi,python,java,r,tableau,sql"
1785328,"Insight Global Healthcare","Healthcare Quality Data Analyst","100000.0","2023-04-25 16:02:04","tableau,excel,qlik,powerpoint"
670899,"Calbright College","Research Data Analyst","99746.90625","2023-10-12 04:00:55","sql,excel,sas,word,spreadsheet,python,r,sas,oracle,windows,sheets,spss"
1064019,"Ogletree Deakins","Legal Project Management Data Analyst","99500.0","2023-07-24 17:02:21","sql,python,r,excel,tableau"
1733276,"Get It Recruit - Information Technology","Senior Earth Observation Data Analyst","99500.0","2023-07-06 09:00:14","c++,sql,python,java,r,bash,c#,powershell,aws,tableau"
867791,"Get It Recruit - Technology","Data Analyst III - SQL Analytics - Remote | WFH","99000.0","2023-03-04 10:01:39","sql,excel"
1332763,"Ad Hoc Team","Research Data Analyst (remote)","98800.0","2023-05-04 01:00:43","sql,python,r,tableau,looker"
284410,"Goldbelt, Inc.","Data Analyst","98750.0","2023-09-16 09:02:30","sas,sas,flow"
1149238,"Get It Recruit - Technology","Data Analyst IV (Healthcare Analytics) - Remote | WFH","98500.0","2023-02-27 08:01:19","sql,python,r,excel"
498516,"Motion Recruitment","Mid-Level Data Analyst - Python/SQL/PowerBI/Tableau","97500.0","2023-05-30 07:01:57","sql,python,azure,databricks,snowflake,spark,tableau,power bi"
630777,"CRED iQ","Quantitative Data Analyst (CRE / CMBS)","97500.0","2023-10-20 14:00:09","go,sql,powerpoint,word,excel,python,rust"
1691565,"InvestM Technology LLC","Data Analyst - Healthcare","97500.0","2023-01-26 22:06:18","python,r,tableau,power bi,sql"
1714018,"Cognizant Technology Solutions","Privacy Data Analyst- (remote)","97500.0","2023-01-09 20:01:32","flow,excel"
35406,"Central California Alliance for Health (Remote)","Provider Data Configuration Analyst IV","97070.5","2023-12-20 22:00:34","sql"
339556,"Driscoll's","Lead Master Data Analyst (Remote or Onsite)","97000.0","2023-05-09 07:01:26","sql,flow"
1299756,"Respawn Entertainment","Data Analyst (Apex Legends)","96400.0","2023-06-22 19:01:06","power bi,sql"
1791218,"Booz Allen Hamilton","Data Analyst","95700.0","2023-01-20 03:00:21","r,tableau,power bi,qlik,powerpoint,python,sql"
703426,"Insight Global","Data Analyst (QA)","95680.0","2023-01-05 16:00:49","excel"
1601917,"Insight Global","Data Analyst (QA)","95680.0","2023-01-05 04:01:14","excel"
1519639,"Booz Allen Hamilton","Data Analyst, Mid","95650.0","2023-08-30 20:01:43","powerpoint,python,r,power bi"
735880,"Olympus Corporation of the Americas","Data Analyst Lead - Remote","95500.0","2023-05-18 01:00:30","sql,python,vba,excel,tableau,unity"
354407,"Get It Recruit - Finance","Data Analyst","95329.0","2023-08-11 14:00:49","sql,oracle,tableau,power bi"
690438,"CVS Health","Risk Adjustment Data Analytics Lead","95150.0","2023-07-26 09:00:37","sql,sas,excel,sas"
78069,"Polygence","Data Analyst","95000.0","2023-10-31 00:03:00","excel,python,r,sql,sheets,looker,tableau"
204667,"Get It Recruit - Finance","Data Analyst","95000.0","2023-10-10 20:00:44","oracle,sql,power bi,tableau"
328827,"HopSkipDrive","Data Analyst (Greater LA Area, CA or Remote)","95000.0","2023-01-06 19:01:21","sheets,go,sql,excel,tableau"
334078,"American Red Cross","Data Analyst * Work from home","95000.0","2023-10-12 00:00:16","r,sql,python"
369634,"Hays","Data Analyst - Looker","95000.0","2023-02-23 14:22:02","sql,mongodb,postgresql,mongodb,looker"
430230,"Ryder System","Data Analyst III (REMOTE)","95000.0","2023-06-14 12:25:49","tableau,express,azure,power bi,alteryx,python"
